Time (years),Data_1,Data_2
17959.0,100000.0,99999.99999999993
17959.5,100000.0,99999.99999999993
17960.0,100000.0,99999.99999999993
17960.5,100000.0,99999.99999999993
17961.0,100000.0,99999.99999999993
17961.5,100000.0,99999.99999999993
17962.0,100000.0,99999.99999999993
17962.5,100000.0,99999.99999999993
17963.0,100000.0,99999.99999999993
17963.5,100000.0,99999.99999999993
17964.0,100000.0,99999.99999999993
17964.5,100000.0,99999.99999999993
17965.0,100000.0,99999.99999999993
17965.5,100000.0,99999.99999999993
17966.0,100000.0,99999.99999999993
17966.5,100000.0,99999.99999999993
17967.0,100000.0,99999.99999999993
17967.5,100000.0,99999.99999999993
17968.0,100000.0,99999.99999999993
17968.5,100000.0,99999.99999999993
17969.0,100000.0,99999.99999999993
17969.5,100000.0,99999.99999999993
17970.0,100000.0,99999.99999999993
17970.5,100000.0,99999.99999999993
17971.0,100000.0,99999.99999999993
17971.5,100000.0,99999.99999999993
17972.0,100000.0,99999.99999999993
17972.5,100000.0,99999.99999999993
17973.0,100000.0,99999.99999999993
17973.5,100000.0,99999.99999999993
17974.0,100000.0,99999.99999999993
17974.5,100000.0,99999.99999999993
17975.0,100000.0,99999.99999999993
17975.5,100000.0,99999.99999999993
17976.0,100000.0,99999.99999999993
17976.5,100000.0,99999.99999999993
17977.0,100000.0,99999.99999999993
17977.5,100000.0,99999.99999999993
17978.0,100000.0,99999.99999999993
17978.5,100000.0,99999.99999999993
17979.0,100000.0,99999.99999999993
17979.5,100000.0,99999.99999999993
17980.0,100000.0,99999.99999999993
17980.5,100000.0,99999.99999999993
17981.0,100000.0,99999.99999999993
17981.5,100000.0,99999.99999999993
17982.0,100000.0,99999.99999999993
17982.5,100000.0,99999.99999999993
17983.0,100000.0,99999.99999999993
17983.5,100000.0,99999.99999999993
17984.0,100000.0,99999.99999999993
17984.5,100000.0,99999.99999999993
17985.0,100000.0,99999.99999999993
17985.5,100000.0,99999.99999999993
17986.0,100000.0,99999.99999999993
17986.5,100000.0,99999.99999999993
17987.0,100000.0,99999.99999999993
17987.5,100000.0,99999.99999999993
17988.0,100000.0,99999.99999999993
17988.5,100000.0,99999.99999999993
17989.0,100000.0,99999.99999999993
17989.5,100000.0,99999.99999999993
17990.0,100000.0,99999.99999999993
17990.5,100000.0,99999.99999999993
17991.0,100000.0,99999.99999999993
17991.5,100000.0,99999.99999999993
17992.0,100000.0,99999.99999999993
17992.5,100000.0,99999.99999999993
17993.0,100000.0,99999.99999999993
17993.5,100000.0,99999.99999999993
17994.0,100000.0,99999.99999999993
17994.5,100000.0,99999.99999999993
17995.0,100000.0,99999.99999999993
17995.5,100000.0,99999.99999999993
17996.0,100000.0,99999.99999999993
17996.5,100000.0,99999.99999999993
17997.0,100000.0,99999.99999999993
17997.5,100000.0,99999.99999999993
17998.0,100000.0,99999.99999999993
17998.5,100000.0,99999.99999999993
17999.0,100000.0,99999.99999999993
17999.5,100000.0,99999.99999999993
18000.0,100000.0,99999.99999999993
18000.5,100000.0,99999.99999999993
18001.0,100000.0,99999.99999999993
18001.5,100000.0,99999.99999999993
18002.0,100000.0,99999.99999999993
18002.5,100000.0,99999.99999999993
18003.0,100000.0,99999.99999999993
